File,Label,Label_CN,Vote,Conf,Reliability,Rel_Level,Note
A,IR,内圈故障,79.7,0.824,★★☆,可靠,
B,Ball,滚动体故障,89.0,0.923,★★☆,可靠,
C,OR,外圈故障,78.1,0.898,★★☆,可靠,
D,OR,外圈故障,54.8,0.694,☆☆☆,需复核,轻微/早期故障
E,OR,外圈故障,52.1,0.964,★☆☆,一般,存在强冲击脉冲
F,OR,外圈故障,41.4,0.658,☆☆☆,需复核,特征分散
G,Ball,滚动体故障,98.9,0.968,★★★,高可靠,
H,IR,内圈故障,99.2,0.953,★★★,高可靠,
I,OR,外圈故障,85.0,0.9,★★☆,可靠,
J,OR,外圈故障,77.0,0.882,★★☆,可靠,
K,IR,内圈故障,100.0,0.98,★★★,高可靠,
L,Ball,滚动体故障,75.9,0.826,★★☆,可靠,
M,IR,内圈故障,100.0,0.984,★★★,高可靠,
N,IR,内圈故障,77.3,0.884,★★☆,可靠,
O,Ball,滚动体故障,99.5,0.969,★★★,高可靠,
P,OR,外圈故障,66.3,0.704,★☆☆,一般,
